english_word	offset	definition	c_lu_id	spelling	provenance
sanitised	eng-30-03153554-a	made sanitary	d_a-13854	aseptisch	automatic-rule-1_opus_std-dict
disenchanted	eng-30-00866047-a	freed from enchantment	r_a-13682	ontgoocheld	google_bing_std-dict
nonreversible	eng-30-01760009-a	not reversible or capable of having either side out	r_a-13610	onomkeerbaar	google_std-dict
digestible	eng-30-01182024-a	capable of being converted into assimilable condition in the alimentary canal	r_a-16268	verteerbaar	bing_opus_alt-dict
rusted	eng-30-02052983-a	having accumulated rust	d_a-418647	verroest	automatic-rule-1_google_std-dict
inadmissible	eng-30-01762582-a	not deserving to be admitted	r_a-13689	ontoelaatbaar	opus_std-dict
inexplicable	eng-30-00939105-a	incapable of being explained or accounted for	r_a-13750	onverklaarbaar	bing_opus_alt-dict
meteorological	eng-30-02865479-a	of or pertaining to atmospheric phenomena, especially weather and weather conditions	r_a-12844	meteorologisch	bing_opus_alt-dict
combed	eng-30-02429066-a	(of hair) made tidy with a comb	d_a-88610	gekamd	google_bing_opus_std-dict
homogenous	eng-30-01199751-a	all of the same or similar kind or nature	r_a-11665	homogeen	google_bing_opus_alt-dict
enterprising	eng-30-00884778-a	marked by imagination, initiative, and readiness to undertake new projects	r_a-13405	ondernemend	google_opus_std-dict
plutocratic	eng-30-02781247-a	of or relating to or characteristic of a plutocrat	d_a-220117	plutocratisch	google_std-dict
oxidized	eng-30-03151122-a	combined with or having undergone a chemical reaction with oxygen	d_a-407452	geoxydeerd	opus_std-dict
disadvantageous	eng-30-00065488-a	constituting a disadvantage	r_a-13052	nadelig	google_bing_std-dict
joyless	eng-30-01368192-a	not experiencing or inspiring joy	r_a-16324	vreugdeloos	google_bing_opus_std-dict
voiced	eng-30-02286083-a	produced with vibration of the vocal cords; 	r_a-15178	stemhebbend	google_std-dict
immutable	eng-30-00356648-a	not subject or susceptible to change or variation in form or quality or nature	r_a-13725	onveranderlijk	google_opus_std-dict
lexicographical	eng-30-02909808-a	of or relating to lexicography	r_a-12318	lexicografisch	automatic-rule-1_google_bing_std-dict
inspiring	eng-30-01323096-a	stimulating or exalting to the spirit	r_a-12037	inspirerend	google_bing_opus_alt-dict
pentagonal	eng-30-02834730-a	of or relating to or shaped like a pentagon	d_a-316564	vijfhoekig	automatic-rule-1_bing_opus_std-dict
inopportune	eng-30-01661914-a	not opportune	r_a-13489	ongelegen	google_bing_std-dict
irreconcilable	eng-30-01986926-a	impossible to reconcile	r_a-13634	onoverkomelijk	opus_alt-dict
inebriated	eng-30-00797299-a	stupefied or excited by a chemical substance (especially alcohol)	r_a-10132	dronken	google_bing_std-dict
hormonal	eng-30-02934744-a	of or relating to or caused by hormones	r_a-11823	hormonaal	google_bing_opus_alt-dict
asymmetric	eng-30-02373599-a	characterized by asymmetry in the spatial arrangement or placement of parts or components	r_a-8822	asymmetrisch	bing_opus_alt-dict
shapely	eng-30-02138659-a	having a well-proportioned and pleasing shape	r_a-15821	welgevormd	opus_alt-dict
choreographic	eng-30-02938143-a	of or concerned with choreography	r_a-9851	choreografisch	automatic-rule-1_google_bing_std-dict
unfamiliar	eng-30-00966477-a	not known or well known	r_a-13311	onbemind	google_bing_alt-dict
irresolute	eng-30-01992149-a	uncertain how to act or proceed	r_a-9242	besluiteloos	google_bing_std-dict
terminological	eng-30-03123561-a	of or concerning terminology	d_a-288399	terminologisch	automatic-rule-1_bing_opus_std-dict
forceless	eng-30-00842914-a	lacking force; feeble	r_a-12717	machteloos	google_std-dict
exogenous	eng-30-00873251-a	derived or originating externally	d_a-76794	exogeen	opus_std-dict
octagonal	eng-30-02834862-a	of or relating to or shaped like an octagon	d_a-4368	achthoekig	automatic-rule-1_bing_opus_std-dict
untraceable	eng-30-02453492-a	incapable of being traced or tracked down	r_a-13785	onvindbaar	google_opus_std-dict
debilitating	eng-30-01357966-a	impairing the strength and vitality	d_a-304613	uitputtend	automatic-rule-1_opus_std-dict
subjacent	eng-30-02349477-a	lying nearby but lower	r_a-14059	onderliggend	google_alt-dict
