lemma	rbn_id	synset_id	pos	ODWN_gloss	hypernym(s)	hypernym_gloss	ILI_English_gloss				
aanloopperiode	r_n-2270	odwn-10-102197061-n	n	tijd nodig om op te starten;time to start	eng-30-15113229-n	an amount of time				added	39
pennenvrucht	r_n-28103	odwn-10-105812964-n	n	dat wat men geschreven heeft;what one has written	eng-30-06284225-n	one of the natural units into which linguistic messages can be analyzed	x				
aanvliegen	r_v-299	odwn-10-107226421-v	v	ergens heen vliegen;somewhere fly	eng-30-00124442-v	go or proceed from one point to another	x				
koukleum	r_n-20636	odwn-10-104328483-n	n	kouwelijk iemand	eng-30-00007846-n	a human being	someone who gets cold easily				
boosheid	r_n-8086	odwn-10-100770388-n	n	toorn	eng-30-00026192-n	the experiencing of affective and emotional states	x				
dopheide	r_n-11364	odwn-10-100828841-n	n	bepaald soort heide;certain kind of heath	eng-30-12205694-n	a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests	x				
overdosis	r_n-27057	odwn-10-107487756-n	n	te grote dosis	eng-30-13772106-n	the quantity of an active agent (substance or radiation) taken in or absorbed at any one time	x				
mousseren	r_v-4786	odwn-10-103061468-v	v	bruisen van wijn;effervescence of wine	eng-30-00519363-v	become bubbly or frothy or foaming	x				
f	r_n-12902	odwn-10-104225285-n	n	bepaalde muzieknoot;certain grade	eng-30-06817782-n	a written or printed symbol (as for punctuation)	x				
ui	r_n-38910	odwn-10-109919923-n	n	bol van deze plant als voedsel;bulb of this plant as food	eng-30-07707451-n	edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant	x				
registratie	r_n-31103	odwn-10-107675726-n	n	het bedienen v.e. orgel;operating of a organ	eng-30-00577068-n	a process or series of acts especially of a practical or mechanical nature involved in a particular form of work	x				
overbrengen	r_v-5960	odwn-10-102818877-v	v	de vorm veranderen;change the form	eng-30-01511706-v	cause to move forward with force	x				
eega	r_n-11968	odwn-10-108176000-n	n	echtgenoot of echtgenote	eng-30-10640620-n;eng-30-10787470-n	'a person''s partner in marriage'	x				
bierbuik	r_n-7231	odwn-10-104381499-n	n	NA	eng-30-05555917-n	NA	A beer belly is an especially thick, forward bulging belly exclusively for men, without the rest of the body being necessarily thick.				
bierbuik	c_545305	odwn-10-109994970-n	n	NA	eng-30-10287213-n	NA	A man with an especially thick, forward bulging belly, without the rest of the body being necessarily thick, typically associated with drinking too much beer.				
geestgrond	r_n-14260	odwn-10-107219268-n	n	NA	eng-30-09334396-n	NA	A slightly elevated land area with a soil consisting of dune sand which is mixed with peat or clay, mostly found along the shore.				
roofvis	r_n-32024	odwn-10-103305141-n	n	NA	eng-30-02512053-n	NA	Predatory fish, such as  the perch, muskie , pike, walleye, and salmon, are fish that prey upon other fish or animals.				
schutsluis	r_n-33430	odwn-10-108946312-n	n	NA	eng-30-03683079-n	NA	One of the most well known types of a ship lock, which enables to go from one water level to another.				
fonteintje	r_n-13497	odwn-10-100869238-n	n	NA	eng-30-02876657-n	NA	A type of fountain, in general of small size, designed for birds, either for taking a bath or for drinking water.				
schuilhut	r_n-33385	odwn-10-107183907-n	n	NA	eng-30-02932400-n	NA	A type of hut, usually situated in a forest area, that is used to either observe, photograph or hunt wild animals.				
pressie	r_n-29559	odwn-10-103627191-n	n	NA	eng-30-11495041-n	NA	Atmospheric pressure, sometimes also called barometric pressure, is the pressure exerted by the weight of air in the atmosphere of Earth (or that of another planet)				
beenmergontsteking	r_n-6265	odwn-10-109823576-n	n	NA	eng-30-00863513-n	NA	An inflammation of the bone marrow, the flexible tissue in the interior of bones in the human body, often caused by blood poisining.				
afdrogen	r_v-483	odwn-10-109942098-v	v	NA	eng-30-01100145-v	NA	To beat someone by a large margin in any kind of activities with elements of competition such as sports, board games, and cards.				
niveauverschil	r_n-25105	odwn-10-109855151-n	n	NA	eng-30-04748836-n	NA	Either a difference in the competence level between two individuals or groups or the physical difference in height between two objects.				
labrador	r_n-21199	odwn-10-107263198-n	n	NA	eng-30-02084071-n	NA	A labrador is a type of retriever-hun dog, popular in the United Kingdom and the United States and is often used to provide disability assistance.				
moonboots	r_n-24233	 odwn-10-104951523-n	n	NA	eng-30-02872752-n	NA	The boot is constructed with a thin rubber outsole and cellular rubber midsole covered by colorful Nylon fabrics and using polyurethane foams.				
college	r_n-9552	odwn-10-103166323-n	n	NA	eng-30-06185955-n	NA	A series of lectures, oral presentations intended to present information or teach people about a particular subject, at a university as part of a course.				
aanloopperiode	r_n-2270	odwn-10-102197061-n	n	NA	eng-30-15113229-n	NA	The period, an amount of time, which is needed to prepare for a new project, for example to start a new company.				
notenbalk	r_n-25329	odwn-10-105363823-n	n	lijnen voor noteren van muziek;lines for scoring music	eng-30-13862780-n	a combination of points and lines and planes that form a visible palpable shape	x				
opbinden	r_v-5426	odwn-10-102039498-v	v	boven vastbinden;tie up	eng-30-01285440-v	fasten or secure with a rope, string, or cord	x				
zwieper	r_n-44632	odwn-10-101388752-n	n	beweging waardoor je ineens opzij moet;movement that you suddenly need aside	eng-30-01176031-n	a severe blow	x				
vluchtgegevens	r_n-41226	odwn-10-103542406-n	n	informatie mbt. een vlucht;information about a flight	eng-30-08462320-n	a collection of facts from which conclusions may be drawn	information about a flight				
correctie	r_n-10040	odwn-10-103482771-n	n	het verbeteren van fouten	eng-30-00258854-n	the act of offering an improvement to replace a mistake; setting right	x				
erwt	r_n-12608	odwn-10-103324350-n	n	zaadje dat als groente gegeten wordt;seed that is eaten as a vegetable	eng-30-11748002-n	the fruit or seed of any of various bean or pea plants consisting of a case that splits along both sides when ripe and having the seeds attach to one side of the case	x				
aftappen	r_v-837	odwn-10-102509530-v	v	reservoir leeg doen vloeien;to flow reservoir empty	eng-30-00449692-v	make void or empty of contents	x				
tekeergaan	r_v-7747	odwn-10-101341075-v	v	je woede uiten;you express anger	eng-30-02176268-v	make a certain noise or sound	x				
fantoom	r_n-13038	odwn-10-107324823-n	n	spook;specter	eng-30-09545324-n	any incorporeal supernatural being that can become visible (or audible) to human beings	x				
project	r_n-29878	odwn-10-105316982-n	n	onderwerp voor een werkstuk;topic for a project	eng-30-00729108-n	preparatory school work done outside school (especially at home)	x				
stationcar	r_n-35608	odwn-10-102276728-n	n	personenauto met ruimte voor goederen;passenger with space for goods	eng-30-02958343-n	a motor vehicle with four wheels; usually propelled by an internal combustion engine	A station wagon, also called an estate car, estate wagon, or simply wagon or estate, is an automotive body-style variant of a sedan/saloon with its roof extended rearward[1] over a shared passenger/cargo volume with access at the back via a third or fifth door (the liftgate or tailgate), instead of a trunk lid				
uitvoerbelasting	r_n-39178	odwn-10-108813628-n	n	belasting op uit te voeren goederen;tax on export goods	eng-30-13308999-n	'charge against a citizen''s person or property or activity for the support of government'	charge on goods that are exported abroad				
safe sex	r_n-32368	odwn-10-109207525-n	n	het veilig vrijen;safe sex	eng-30-00844254-n	activities associated with sexual intercourse	x				
aapmens	r_n-2391	odwn-10-101132223-n	n	oermens	eng-30-02472293-n	any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage	things that generally have some of the traits of both other apes and humans				
